ContractID,LocationID,Latitude,Longitude,CITY,POSTALCODE,CRESTA,COUNTRYISO,RiskCount,ConstructionCodeType,ConstructionCode,OccupancyCodeType,OccupancyCode,YEARBUILT,STORIES,RepValBldg,RepValCont,DeductBldg,DeductType,Currency,CustomElevation
SV074611237,210941,53.440742,10.396697,Geesthacht,21502,21,DE,1,AIR,100,AIR,303,0,0,987472,0,5000,C,EUR,-999
SV074678191,210033,53.088575,8.85035,Bremen,28213,28,DE,1,AIR,100,AIR,303,0,0,1403913,0,5000,C,EUR,-999
SV074678191,210035,53.088628,8.850944,Bremen,28213,28,DE,1,AIR,100,AIR,303,0,0,1124595,0,5000,C,EUR,-999
SV074678191,210077,53.092133,8.853587,Bremen,28213,28,DE,1,AIR,100,AIR,303,0,0,1215981,0,5000,C,EUR,-999
SV074678191,210100,53.173414,8.713038,Bremen,28717,28,DE,1,AIR,100,AIR,303,0,0,1876120,0,5000,C,EUR,-999
SV074678191,210104,53.176624,8.703362,Bremen,28717,28,DE,1,AIR,100,AIR,303,0,0,1439533,0,5000,C,EUR,-999
SV074774770,336949,51.993894,13.078488,J³terbog,14913,14,DE,1,AIR,100,AIR,303,0,0,1012349,0,2500,C,EUR,-999
SV073628945,339200,50.938381,6.821422,K÷ln,50859,50,DE,1,AIR,100,AIR,303,0,0,434290,0,2500,C,EUR,-999
SV074747782,339241,53.6331,9.892817,Rellingen,25462,25,DE,1,AIR,100,AIR,303,0,0,807200,0,2500,C,EUR,-999
SV074814033,392918,48.801163,9.23802,Stuttgart,70374,70,DE,1,AIR,100,AIR,303,0,0,549973,0,5000,C,EUR,-999
SV074814033,202992,52.488217,13.461245,Berlin,12435,12,DE,1,AIR,100,AIR,303,0,0,1561153.5,0,5000,C,EUR,-999
SV074814033,203013,48.798672,9.191042,Stuttgart,70191,70,DE,1,AIR,100,AIR,303,0,0,561656,0,5000,C,EUR,-999
SV074611266,203042,47.98523,7.831374,Freiburg,79100,79,DE,1,AIR,100,AIR,303,0,0,856960.5,0,5000,C,EUR,-999
SV075597952,418326,51.257028,9.455234,Baunatal,34225,34,DE,1,AIR,100,AIR,303,0,0,1199024,0,2500,C,EUR,-999
SV075597952,418362,51.045051,9.290871,Borken,34582,34,DE,1,AIR,100,AIR,303,0,0,1370000,0,2500,C,EUR,-999
SV075597952,418396,50.856331,8.825676,C÷lbe,35091,35,DE,1,AIR,100,AIR,303,0,0,335376,0,2500,C,EUR,-999
SV075600484,476609,51.761509,14.335745,Cottbus,03046,03,DE,1,AIR,100,AIR,303,0,0,2863834,0,1000,C,EUR,-999
SV074814033,393173,49.150889,9.221214,Heilbronn,74076,74,DE,1,AIR,100,AIR,303,0,0,360332,0,5000,C,EUR,-999
SV074814033,202661,48.774999,8.934767,Renningen,71272,71,DE,1,AIR,100,AIR,303,0,0,682621.5,0,5000,C,EUR,-999
SV074814033,202686,48.770055,9.143388,Stuttgart,70197,70,DE,1,AIR,100,AIR,303,0,0,4691439,0,5000,C,EUR,-999
